,No.,Object name,Material,Stained,Surface properties
483,484,scotch tape ,000000000010000000000000000000,100,10000000000
484,485,candy  ,000000000010000000000000000000,100,00100000000
485,486,computer plug ,010000010000000000000000000000,001,01100000000
486,487,white jar ,000000010000000000000000000000,100,10000000000
487,488,invisible tape ,000000010000000000000000000000,100,00100000000
488,489,brown/white house ,000001000000000000000000000000,100,10000000000
489,490,prick ,000000010000000000000000000000,100,00100000000
490,491,brown vase  ,000001000000000000000000000000,001,10000000000
491,492,green safe ,010000010000000000000000000000,001,00100000000
492,493,wooden box ,000010000000000000000000000000,100,10000000000
493,494,empty toilet paper ,000000000010000000000000000000,100,10000000000
494,495,big blue marker ,000000010000000000000000000000,100,00100000000
495,496,…. ,000000000000000000000001000000,010,10000000000
496,497,White sprayer ,000000010000000000000000000000,001,10000000000
497,498,White/red sling ,010000010000000000000000000000,100,01100000000
498,499,White object ,000000010000000000000000000000,001,00100000000
499,500,Purple object ,000000010000000000000000000000,001,00100000000
500,501,….. ,000000000000000000000001000000,010,10000000000
501,502,white screw ,000000010000000000000000000000,001,00100000000
502,503,green parrot ,000001000000000000000000000000,100,00101000000
503,504,broken red toothbrush ,000000010000000000000000010000,001,01100000000
504,505,yellow/green sticks ,000000010000000000000000000000,100,10000000000
505,506,yellow scissors ,010000010000000000000000000000,001,01100000000
506,507,yellow cup ,000001000000000000000000000000,100,00100000000
507,508,big brown pot ,000001000000000000000000000000,001,10000000000
508,509,yellow marker ,000000010000000000000000000000,100,10000000000
509,510,tomato can ,010000000010000000000000000000,100,01100000000
510,511,philips box ,000000000010000000000000000000,100,10000000000
511,512,empty tube ,000000010000000000000000000000,100,00100000000
512,513,…. ,000000000000000000000001000000,010,10000000000
513,514,blue decorated cup ,000000010000000000000000000000,100,10000000000
514,515,red toy ,000000010000000000000000000000,001,00100000000
515,516,dark red box ,010000000000000000000000000000,100,00100000000
516,517,salmon can ,010000000010000000000000000000,100,01100000000
517,518,red reflecting light ,000000010000000000000000000000,100,10000000000
518,519,milkyway bar ,000000010000000000000000000000,100,00100000000
519,520,blue lightbulb ,010000000100000000000000000000,001,01100000000
520,521,ernie toy ,000000010000000000000000000000,100,10000000000
521,522,rose box ,000000000010000000000000000000,100,00100000000
522,523,strawberry can ,010000000000000000000000000000,100,00100000000
523,524,shave brush ,010000000000000100000000000000,001,01000000000
524,525,Paper box ,000000000010000000000000000000,100,10000000000
525,526,Christmas snow bowl ,000000010000000000000000000000,100,00100000000
526,527,brown wooden book ,000010000000000000000000000000,001,00000100000
527,528,tealight cup ,000100000100000000000000000000,001,01100000000
528,529,elastic box ,000000010000000000000000000000,100,00100000000
529,530,square keyhanger ,010000010000000000000000000000,100,01100000000
530,531,bunch of keys ,010000000000000000000000000000,100,00100000000
531,532,colorful wallet ,100000000000000000000000000000,100,10000000000
532,533,treestump ,000010000000000000000000000000,100,10000000000
533,534,lying angel ,000001000000000000000000000000,100,00100000000
534,535,apple/pear/leaves ,100000010000000000000000000000,100,01000000000
535,536,blue/white candle ,000101000000000000000000000000,001,01000000000
536,537,white bookkeeper ,000001000000000000000000000000,001,10000000000
537,538,red box with two balls ,110000000100000000000000000000,100,01100000000
538,539,white horse ,000000010000000000000000000000,100,10000000000
539,540,apple ,000000010000000000000000000000,001,00100000000
540,541,sesamy street toy ,000000010000000000000000000000,100,00100000000
541,542,lying toy men ,000000010000000000000000000000,100,00100000000
542,543,cow ,000000010000000000000000000000,100,00100000000
543,544,yellow princess ,000000010000000000000000000000,100,10000000000
544,545,two-headed dragon ,000000010000000000000000000000,001,10000000000
545,546,cow2 ,000001000000000000000000000000,100,00100000000
546,547,building bob ,000000010000000000000000000000,100,00100000000
547,548,blue rabbit ,100000000000000000000000000000,100,00001000000
548,549,snake game ,000010010000000000000000000000,100,10000000000
549,550,winny the pooh ,000000010000000000000000000000,100,10000000000
550,551,elephant bear ,100000000000000000000000000000,100,00001000000
551,552,dizzy brown bear ,100000000000000000000000000000,100,00001000000
552,553,red toy ,000010000000000000000000000000,100,10000000000
553,554,smurfin ,000000010000000000000000000000,100,00100000000
554,555,dwarf ,100000000000000000000000000000,100,10000000000
555,556,Cinderella ,000000010000000000000000000000,100,00100000000
556,557,Chocolate cookie ,000000000000000000000010000000,100,10000000000
557,558,Yellow/white robot ,000000010000000000000000000000,100,00100000000
558,559,Cow 3 ,000000010000000000000000000000,100,10000000000
559,560,Inkfish ,000000000000000001000000000000,001,00000100000
560,561,Road runner ,000000010000000000000000000000,100,00100000000
561,562,blue/white parrot ,000000010000000000000000000000,100,00100000000
562,563,orange/purple dragon ,000000010000000000000000000000,100,10000000000
563,564,small frog ,000001000000000000000000000000,100,00100000000
564,565,…. ,000000000000000000000001000000,010,10000000000
565,566,Bear head/hands ,100000000000000000000000000000,100,10000000000
566,567,Pear ,001000000000000000000000000000,100,10000000000
567,568,Golden egg ,000000000000000000000010000000,100,00100000000
568,569,Red/pink lying egg ,000000000000000000000010000000,100,00100000000
569,570,Blue egg ,000000000000000000000010000000,100,00100000000
570,571,Green egg ,000000000000000000000010000000,001,00100000000
571,572,Dark red egg ,000000000000000000000010000000,100,00100000000
572,573,Pink/red egg ,000000000000000000000010000000,100,00100000000
573,574,Vitamine C box ,000000010000000000000000000000,100,10000000000
574,575,Spices box 1 ,010000010100000000000000000000,100,01100000000
575,576,Spices box 2 ,010000010100000000000000000000,100,01100000000
576,577,Spices box 3 ,010000010100000000000000000000,100,01100000000
577,578,Diamond lid ,010000000000000000000000000000,100,10000000000
578,579,Open jam jar (no metal) ,000000000110000000000000000000,100,01100000000
579,580,Jam jar 2 ,010000000110000000000000000000,100,01100000000
580,581,Jam jar 3 ,010000000110000000000000000000,100,01100000000
581,582,Open jam jar ,010000000110000000000000000000,100,01100000000
582,583,Bottle tabasco ,000000010110000000000000000000,100,01100000000
583,584,Yellow monster stamp ,000000010000000000000000000000,100,10000000000
584,585,Colored ball ,000000000000000001000000000000,100,10000000000
585,586,Red/yellow ball ,000000000000000001000000000000,100,10000000000
586,587,Wooden decoration ,000010000000000000000000000000,100,00100000000
587,588,Unheaded men ,000000010000000000000000000000,100,10000000000
588,589,Red robot ,010000010000000000000000000000,100,01100000000
589,590,Spiked green ball   ,000000000000000001000000000000,001,10000000000
590,591,purple flute ,000000010000000000000000000000,001,00100000000
591,592,purple pig ,000000010000000000000000000000,100,10000000000
592,593,brown eland ,100000000000000000000000000000,100,10000000000
593,594,yellow fingerbear ,100000000000000000000000000000,100,10000000000
594,595,driving motor ,010010010000000000000000000000,001,01100000000
595,596,wooden block ,000010000000000000000000000000,001,10000000000
596,597,yellow/red  wooden block,000010000000000000000000000000,100,10000000000
597,598,blue wooden block ,000010000000000000000000000000,100,10000000000
598,599,Easter chocolate eggs ,000000010000000000000000000000,100,00100000000
599,600,Raison box ,000000000010000000000000000000,100,10000000000
600,601,Red object ,000000010000000000000000000000,100,10000000000
601,602,Green pringles box ,000000010010000000000000000000,100,01100000000
602,603,Yellow pringles box ,000000010010000000000000000000,100,01100000000
603,604,Blue nivea crème ,000000010000000000000000000000,100,10000000000
604,605,Green/white tube ,000000010000000000000000000000,100,00100000000
605,606,Marmite jar ,010000000110000000000000000000,100,01100000000
606,607,White nivea tube  ,000000010000000000000000000000,100,00100000000
607,608,Thumb-tack box ,000000010000000000000000000000,100,00100000000
608,609,Red tomato paste ,010000000010000000000000000000,100,01100000000
609,610,Lying girl ,100000010000000100000000000000,100,01000000000
610,611,Red/green tomato paste ,010000000010000000000000000000,100,01100000000
611,612,Alarm clock ,010000010000000000000000000000,100,01100000000
612,613,Fruit drink ,000000010010000000000000000000,100,01100000000
613,614,Wooden doll ,000010000000000000000000000000,100,10000000000
614,615,Sisi can ,010000000000000000000000000000,100,00100000000
615,616,Orange can ,010000000000000000000000000000,100,00100000000
616,617,Spices box 4  ,010000000110000000000000000000,100,01100000000
617,618,Pink/green salmon can ,010000000010000000000000000000,100,01100000000
618,619,Yellow/green tuna can ,010000000010000000000000000000,100,01100000000
619,620,Pink duck ,000000010000000000000000000000,100,00100000000
620,621,White plug ,010000010000000000000000000000,100,01000000000
621,622,White plug 2 ,010000010000000000000000000000,001,01100000000
622,623,Stone and wire ,000000001000000000000000010000,001,01000100000
623,624,Yellow soap ,000000010000000000000000000000,100,01100000000
624,625,Zendium toothpaste ,000000010000000000000000000000,100,00100000000
625,626,Decorated egg ,000000000000000000000010000000,100,00100000000
626,627,Baby fruit jar ,010000000110000000000000000000,100,10000000000
627,628,Drill toy ,000000000000000001000000000000,001,10000000000
628,629,sterilon bottle ,000000010000000000000000000000,100,00100000000
629,630,toothpicks ,000000010110000000000000000000,100,01100000000
630,631,white plug 3 ,010000010000000000000000000000,001,01100000000
631,632,blue shampoo ,000000010000000000000000000000,100,00100000000
632,633,Jodium bottle ,000000010000000000000000000000,100,00100000000
633,634,Green eyed car ,000000010000000000000000000000,100,10000000000
634,635,Standing paperclip box ,000000010000000000000000000000,100,00100000000
635,636,Lying paperclip box ,000000010000000000000000000000,100,00100000000
636,637,Black pringles ,000000010010000000000000000000,100,01000000000
637,638,Fruit drink 2 ,000000010010000000000000000000,100,01100000000
638,639,Clock ,010000000100000000000000000000,100,01100000000
639,640,baby fruit jar 2 ,010000000110000000000000000000,100,01100000000
640,641,standing raison box ,000000000010000000000000000000,100,10000000000
641,642,stampler ,010000000000000000000000000000,100,00100000000
642,643,dragon stamp ,000000001010000000000000000000,100,01000000000
643,644,red round box ,010000000000000000000000000000,100,00100000000
644,645,white object ,000000001000000000000000000000,001,10000000000
645,646,green flower ,000010000000000000000000000000,100,10000000000
646,647,"wooden, red flower ",000010000000000000000000000000,100,10000000000
647,648,fruit mix ,100000010000000000000000000000,100,01100000000
648,649,apple ,001000000000000000000000000000,100,10000000000
649,650,kiwi ,001000000000000000000000000000,001,10000000000
650,651,lemon ,001000000000000000000000000000,001,00100000000
651,652,brown stone ,000000001000000000000000000000,100,00101000000
652,653,fake strawberry 1 ,000000010000000000000000000000,100,00100000000
653,654,fake tomato ,000001000000000000000000000000,100,10000000000
654,655,fake strawberry 2 ,000000010000000000000000000000,100,10000000000
655,656,fake melon ,000000010000000000000000000000,100,00100000000
656,657,fake brown orange ,000000010000000000000000000000,001,10000000000
657,658,red stone ,000000001000000000000000000000,100,00100000000
658,659,black/white stone ,000000001000000000000000000000,100,00100000000
659,660,grey stone ,000000001000000000000000000000,100,00100000000
660,661,yellow/red strawberry ,000000010000000000000000000000,100,00000100000
661,662,yellow/green strawberry ,000000010000000000000000000000,100,00100000000
662,663,cherries ,000000010000000000000000000000,100,00100000000
663,664,spiked pink ball ,000000010000000000000000000000,100,00000000010
664,665,cherry ,000000010000000000000000000000,100,00100000000
665,666,fake pear ,000000010000000000000000000000,001,00100000000
666,667,fake white onion ,000000010000000000000000000000,001,00100000000
667,668,strawberries ,000000010000000000000000000000,100,00100000000
668,669,mushroom ,000000010000000000000000000000,100,00100000000
669,670,stone flower ,000000001000000000000000000000,001,10000000000
670,671,wooden egg ,000010000000000000000000000000,100,10000000000
671,672,white ball ,000000001000000000000000000000,001,00100000000
672,673,trophy  ,010000001000000000000000000000,100,01100000000
673,674,big pink eared animal ,000000000000000001000000000000,100,00100000000
674,675,garfield ,000000010000000000000000000000,100,10000000000
675,676,van basten ,000000010000000000000000000000,100,00100000000
676,677,blue chopper ,000000010000000000000000000000,100,00100000000
677,678,purple flying dragon ,000000010000000000000000000000,100,00100000000
678,679,green frog ,000000010000000000000000000000,100,10000000000
679,680,white hook ,000000010000000000000000000000,001,00100000000
680,681,shower cream  ,000000010000000000000000000000,100,00100000000
681,682,white office object ,000000010000000000000000000000,001,00100000000
682,683,picking blue parrot ,000000010000000000000000000000,100,00100000000
683,684,open black box ,010000010000000000000000000000,100,01100000000
684,685,green stick ,000000010000000000000000000000,100,00100000000
685,686,green bird ,000000010000000000000000000000,100,00100000000
686,687,baseball  ,100000000000000000000000000000,100,10000000000
687,688,calex light bulb ,000000000010000000000000000000,100,00100000000
688,689,growling dog ,000000010000000000000000000000,100,10000000000
689,690,pink sticks in box ,000000010000000000000000000000,100,00100000000
690,691,"red, plastic bear ",000000010000000000000000000000,100,10000000000
691,692,pink bird ,000000010000000000000000000000,100,10000000000
692,693,wooden sticks ,000010000000000000000000000000,001,10000000000
693,694,white reflecting light ,000000000100000000000000000000,001,00100000000
694,695,orange dog  ,000000010000000000000000000000,100,10000000000
695,696,green fish ,000000010010000000000000000000,100,01000000000
696,697,boat ,000000010000000000000000000000,100,10000000000
697,698,children on bike ,000000010000000000000000000000,100,00100000000
698,699,key hanger ,110000000000000000000000000000,100,01100000000
699,700,daffy duck ,000000010000000000000000000000,100,00100000000
700,701,white alarm ,000000010000000000000000000000,100,00100000000
701,702,orange toy ,000000010000000000000000000000,100,00100000000
702,703,snorkel toy ,000000010000000000000000000000,100,10000000000
703,704,yellow/white airplane ,000000010000000000000000000000,100,10000000000
704,705,green capsicum ,001000000000000000000000000000,001,01100000000
705,706,red capsicum ,001000000000000000000000000000,001,01100000000
706,707,mango  ,001000000000000000000000000000,100,10000000000
707,708,kiwi ,001000000000000000000000000000,001,10000000000
708,709,big mushroom ,000000000001000000000000000000,001,10000000000
709,710,apple ,001000000000000000000000000000,100,10000000000
710,711,small mushroom ,000000000001000000000000000000,001,10000000000
711,712,mandarin ,001000000000000000000000000000,100,00100000000
712,713,lemon ,001000000000000000000000000000,001,00100000000
713,714,onion ,000000000001000000000000000000,100,00100000000
714,715,Unknown fruit ,001000000000000000000000000000,100,00100000000
715,716,Unknown fruit 2 ,001000000000000000000000000000,001,00000110000
716,717,small onion ,000000000001000000000000000000,100,00100000000
717,718,garlic ,000000000001000000000000000000,001,10000000000
718,719,tomato ,000000000001000000000000000000,001,00100000000
719,720,red onion ,000000000001000000000000000000,001,00100000000
720,721,pear ,001000000000000000000000000000,100,00100000000
721,722,lemon ,001000000000000000000000000000,001,00100000000
722,723,flat french bean ,000000000001000000000000000000,001,10000000000
723,724,french bean ,000000000001000000000000000000,001,10000000000
724,725,purple rhinoceros  ,000000010000000000000000000000,100,10000000000
725,726,wooden clogs ,100010000000000000000000000000,100,10000000000
726,727,brown toy doll ,000000010000000000000000000000,100,00100000000
727,728,orange rhinoceros ,000000010000000000000000000000,100,00100000000
728,729,jojo ,000000010000000100000000000000,100,01100000000
729,730,jojo box ,000000000010000000000000000000,100,10000000000
730,731,orange/white fish ,000000010000000000000000000000,100,10000000000
731,732,blue/white rabbit ,000001000000000000000000000000,100,00100000000
732,733,Old-fashioned cosmetics ,000000010000000000000000000000,100,00100000000
733,734,Small statue ,010000001000000000000000000000,001,00100000000
734,735,Lady bird on stone ,000000001000000000000000000000,100,00100000000
735,736,Travelling dog ,000000010000000000000000000000,100,10000000000
736,737,Pocket knife ,010000000000000000000000000000,100,00100000000
737,738,Light yellow flower ,000000000000000000001000000000,100,10000000000
738,739,Yellow flower ,000000000000000000001000000000,100,10000000000
739,740,Old timer candy ,000000000010000000000000000000,100,10000000000
740,741,Color markers ,000000010000000000000000000000,100,10000000000
741,742,Red reflecting light ,000000010000000000000000000000,001,00100000000
742,743,Box of small patches ,000000010000000000000000000000,100,00100000000
743,744,UvA cup ,000000010000000000000000000000,100,00100000000
744,745,Green plastic tree ,000000010000000000000000000000,001,00100000000
745,746,Small light bulbs ,010000010010000000000000000000,100,01100000000
746,747,Orange box ,000000000010000000000000000000,001,10000000000
747,748,Small pot ,000001000000000000000000000000,100,10000000000
748,749,Small pot 2 ,000001000000000000000000000000,100,10000000000
749,750,Small pot 3 ,000001000000000000000000000000,100,10000000000
750,751,Cloth box ,100000000000000000000000000000,100,10000000000
751,752,Teddy bear ,100000000000000000000000000000,001,00000100000
752,753,ICCV mug ,000001000000000000000000000000,100,00100000000
753,754,Herb box ,000000000100000000000000000100,100,01100000000
754,755,Bread ingredients ,000000000010000000000000000000,100,10000000000
755,756,white blue salt box ,000000010000000000000000000000,100,00100000000
756,757,purple book Koenderink ,000000000010000000000000000000,100,10000000000
757,758,wooden thing ,000010000000000000000000000000,100,00000010000
758,759,round basket ,000010000000000000000000000000,001,00010000000
759,760,Zwitsal bottle ,000000010000000000000000000000,100,00100000000
760,761,brown/white spray ,010000010000000000000000000000,100,00001000000
761,762,bottle oil ,000000010010000000000000000000,100,00100000000
762,763,hot chocholate cup ,000001000000000000000000000000,100,00100000000
763,764,yellow square toy ,000000010000000000000000000000,100,00100000000
764,765,colored playball ,100000000000000000000000000000,100,10000000000
765,766,colored toy box ,100000000000000000000000000000,100,10000000000
766,767,brown/white dog ,100000010000000000000000000000,100,01000000000
767,768,book ,000000000010000000000000000000,100,10000000000
768,769,colored toy bell ,000010000000000000000000000000,100,10000000000
769,770,long amsterdam box ,000000000010000000000000000000,100,10000000000
770,771,poffertjes box ,000000000010000000000000000000,100,10000000000
771,772,pannekoeken box ,000000000010000000000000000000,100,10000000000
772,773,van gogh box ,010000000000000000000000000000,100,00100000000
773,774,cappuccino cup ,000001000000000000000000000000,100,00101000000
774,775,yellow toy box ,000000010000000000000000000000,100,00100000000
775,776,colored clown doll ,100000000000000000000000000000,100,10000000000
776,777,baby butterfly ,100000000000000000000000000000,100,10000000000
777,778,electronics ,010000010000000000000000000000,100,10000000000
778,779,koala beer ,100000010000000000000000000000,100,10000000000
779,780,square basket ,000010000000000000000000000000,001,10000000000
780,781,dryed flowers in basket ,000010000000000000001000000000,100,10000000000
781,782,styling gel ,000000010010000000000000000000,100,00100000000
782,783,bambix box ,000000000010000000000000000000,100,10000000000
783,784,orange species bag ,000000000010000000000000000000,100,00100000000
784,785,Denne appel ,000010000000000000000000000000,001,00000100000
785,786,vase ,000001000000000000000000000000,001,00001000000
786,787,porseline egg ,000001000000000000000000000000,001,00100000000
787,788,pen ,010000010000000000000000000000,001,00100000000
788,789,tin can ,010000000000000000000000000000,001,00100000000
789,790,pepper mill ,010010000000000000000000000000,001,01100000000
790,791,glass candle holder ,000000000100000000000000000000,001,00100100000
791,792,glass jar ,000000000100000000000000000000,100,00100000000
792,793,wooden square toy ,000010000000000000000000000000,100,10000000000
793,794,yellow cup ,000001000000000000000000000000,001,00100000000
794,795,road cup 1 ,000001000000000000000000000000,100,00100000000
795,796,road cup 2 ,000001000000000000000000000000,100,00100000000
796,797,fish cup ,000000010000000000000000000000,001,00010000000
797,798,isostar bottle ,000000010010000000000000000000,100,01100000000
798,799,multo book  ,000000010010000000000000000000,100,01100000000
799,800,tea can ,010000000000000000000000000000,100,00100000000
800,801,sandwich in plastic ,000000010000000000000000000000,100,00100000000
801,802,ball ,000000010000000000000000000000,100,00100000000
802,803,basket ,000010000000000000000000000000,001,00010000000
803,804,colored tinned box ,010000000000000000000000000000,100,00100000000
804,805,decorated can ,010000000000000000000000000000,100,00100000000
805,806,balloon ,000000000000000001000000000000,001,10000000000
806,807,DE sticks ,000000010010000000000000000000,100,01000000000
807,808,tabacco pot ,010010000000000000000000000000,001,01100000000
808,809,Water sprayer ,000000010000000000000000000000,001,00100000000
809,810,yellow pot ,000000010000000000000000000000,001,00100000000
810,811,lewy (aibo ERS-7) ,000000010000000000000000000000,100,00100000000
811,812,flower pot  ,000001000000000000000000000000,001,10000000000
812,813,FA deoderant ,010000010000000000000000000000,100,01100000000
813,814,blocked cup ,000001000000000000000000000000,100,00100000000
814,815,tissue box ,000000000010000000000000000000,100,10000000000
815,816,bottle SPA ,000000010010000000000000000000,100,01100000000
816,817,lunch box ,000000010000000000000000000000,100,10000000000
817,818,money box ,010000000000000000000000000000,100,00100000000
818,819,"""vergiet"" ",000000010000000000000000000000,001,00100000000
819,820,flower pot ,000000010000000000000000000000,100,10000000000
820,821,basket ,000000010000000000000000000000,001,00100000000
821,822,jacket ,100000000000000000000000000000,100,10000000000
822,823,"""gieter"" ",000000010000000000000000000000,100,10000000000
823,824,bag ,000000010000000000000000000000,100,10000000000
824,825,kruidcake package ,000000000010000000000000000000,100,10000000000
825,826,shoe ,100000000000000001000000000000,100,01000000000
826,827,cup ,000001010000000000000000000000,100,01100000000
827,828,tea box ,000000010010000000000000000000,100,01000000000
828,829,bottle Vitel ,000000010010000000000000000000,100,01100000000
829,830,glass pot ,010000000100000000000000000000,001,01100000000
830,831,bar-le-duc bottle ,000000010010000000000000000000,100,11000000000
831,832,video-tape ,000000010010000000000000000000,100,01000000000
832,833,christmas tree ,000010010100000000000000010000,100,01100000000
833,834,aquafresh toothpaste ,000000010000000000000000000000,100,00100000000
834,835,cat in basket ,000000010010000000000000000000,001,01100000000
835,836,knot of wire ,000000000000000100000000000000,001,00100000000
836,837,box with elastics ,000000010010000000000000000000,100,01100000000
837,838,sugar  ,000000000010000000000000000000,100,10000000000
838,839,candle keeper ,010000010000000000000000000000,100,01100000000
839,840,paladin box ,000000000010000000000000000000,100,10000000000
840,841,wholemaker box ,000000000010000000000000000000,100,10000000000
841,842,pickwick tea box ,000000010000000000000000000000,100,00100000000
842,843,board wiper ,100000000000000000000000000000,100,10000000000
843,844,white wire ,000000000000000000000000010000,001,10000000000
844,845,plant in pot ,000001000000000000000000000010,100,01000000000
845,846,orange juice ,000000010010000000000000000000,100,01000000000
846,847,nutricia cream ,000000010010000000000000000000,100,01000000000
847,848,round box 1 ,010000000000000000000000000000,100,00100000000
848,849,round box 2 ,010000000000000000000000000000,100,00100000000
849,850,becel butter ,000000010000000000000000000000,100,10000000000
850,851,pot ,000001000000000000000000000000,001,10000000000
851,852,sil washgel ,000000010010000000000000000000,100,01100000000
852,853,nikwax spray ,000000010010000000000000000000,100,01100000000
853,854,omo powder ,000000000010000000000000000000,100,00100000000
854,855,gas pot 1 ,010000000000000000000000000000,100,00100000000
855,856,bidon ,000000010000000000000000000000,100,00100000000
856,857,coffee can  ,010000010000000000000000000000,100,01100000000
857,858,bolletje bisquits ,000000000010000000000000000000,100,00100000000
858,859,gas pot 2  ,010000000000000000000000000000,100,00100000000
859,860,German bockworst ,010000000010000000000000000000,100,01100000000
860,861,kellogg's fruit'n fibre ,000000000010000000000000000000,100,10000000000
861,862,shuttle box ,000000010010000000000000000000,100,01100000000
862,863,DE coffee sirop ,010000000110000000000000000000,100,01100000000
863,864,Biotex ,000000010010000000000000000000,100,01000000000
864,865,Travelkit ,110000010000000100000000000000,001,01100000000
865,866,Cactus ,000001000000000000000000000010,100,01000000000
866,867,calender ,000000000010000000000000000000,100,10000000000
867,868,nutrilon nora box ,000000000010000000000000000000,100,10000000000
868,869,tefal bag ,100000010000000000000000000000,100,01000000000
869,870,pineapple ,001000000000000000000000000000,100,01000000000
870,871,jip&janneke balloon ,000000000000000001000000000000,100,00100000000
871,872,nijntje lunch box ,000000010000000000000000000000,100,00100000000
872,873,mango ,001000000000000000000000000000,100,10000000000
873,874,milka chocolate candies ,000000010000000000000000000000,100,00100000000
874,875,plastic tea pot ,000000010000000000000000000000,100,00100000000
875,876,sun washing tablets ,000000000010000000000000000000,100,10000000000
876,877,cauliflower ,000000000001000000000000000000,100,10000000000
877,878,paper cat ,000000000010000000000000000000,100,10000000000
878,879,cucumber ,001000000000000000000000000000,001,10000000000
879,880,carrot ,000000000001000000000000000000,100,10000000000
880,881,courgette ,000000000001000000000000000000,100,10000000000
881,882,orange ,001000000000000000000000000000,001,10000000000
882,883,asperges ,000000000011000000000000000000,100,01000000000
883,884,rettig ,000000000001000000000000000000,100,01000000000
884,885,sweet potato ,000000000001000000000000000000,001,10000000000
885,886,horse ,000001000000000000000000000000,100,00100000000
886,887,witlof ,000000000001000000000000000000,100,10000000000
887,888,melon ,001000000000000000000000000000,100,10000000000
888,889,egg plant ,000000000001000000000000000000,001,01000000000
889,890,lego toy ,000000010000000000000000000000,100,00100000000
890,891,garden scissors ,010000000000000000000000000000,100,10000000000
891,892,wooden chair ,000010000000000000000000000000,100,10000000000
892,893,bookkeeper 1 ,000001000000000000000000000000,100,10000000000
893,894,bookkeeper 2 ,000001000000000000000000000000,100,10000000000
894,895,hairy duster ,000000010000000000000000000000,100,10000000000
895,896,pink pig ,000000010000000000000000000000,100,00100000000
896,897,salamander on box ,000011000000000000000000000000,100,01100000000
897,898,red decorated box ,000000010000000000000000000000,100,00100000000
898,899,drawer closet ,000010000000000000000000000000,100,10000000000
899,900,wooden bowl ,000010000000000000000000000000,100,10000000000
900,901,wooden penbox ,000010000000000000000000000000,001,00100000000
901,902,flower pot ,000001000000000000000000000000,100,10000000000
902,903,diabolo ,010000000000000001000000000000,001,01100000000
903,904,wooden plate ,000010000000000000000000000000,001,10000000000
904,905,book 'kant'  ,000000000010000000000000000000,100,10000000000
905,906,'ernie &bert shampoo ,000000010000000000000000000000,100,00100000000
906,907,hero between ,000000010000000000000000000000,100,00100000000
907,908,Salland ham ,010000000000000000000000000000,100,00100000000
908,909,maggi oven heerlijk ,000000000010000000000000000000,100,10000000000
909,910,ajax spray ,000000010010000000000000000000,100,00100000000
910,911,coffee can ,000000010000000000000000000000,001,00100000000
911,912,colored halter ,000000010000000000000000000000,100,00100000000
912,913,yellow bear ,100000010000000000000000000000,100,01000000000
913,914,golden wired box ,000000000000000000000000010000,001,00100000000
914,915,orange shower boxes ,000000010000000000000000000000,100,00100000000
915,916,drums ,110010000000000000000000000000,100,01100000000
916,917, bee ,100000010000000000000000000000,100,01000000000
917,918,death bonsai tree ,000001000000000000000000000010,100,01100000000
918,919,tool 1 ,010000000000000000000000000000,100,10000000000
919,920,hamer ,010000010000000000000000000000,100,01000000000
920,921,tool 2 ,010000010000000000000000000000,001,01100000000
921,922,tool 3 ,010010000000000000000000000000,001,01000000000
922,923,screwdrivers ,010000010000000000000000000000,100,01100000000
923,924,egg box ,000000000010000000000000000000,100,10000000000
924,925,football ,100000000000000000000000000000,100,10000000000
925,926,knife holder ,000010000000000000000000000000,001,10000000000
926,927,standing doll ,100010010000000000000000000000,100,01000000000
927,928,iron ,110000010000000000000000000000,100,01100000000
928,929,green wire ,000000010000000000000000010000,001,01000000000
929,930,decorated article ,010000000000000000000000000000,100,00100000000
930,931,low vase ,000001000000000000000000000000,100,10000000000
931,932,Lamp parabol ,010000000000000000000000000000,001,00100000000
932,933,fancy lady ,100001000000000000000000000000,100,01100000000
933,934,wooden object ,010010000000000000000000010000,001,01100000000
934,935,feather ring ,000000000000000000000000000001,100,10000000000
935,936,cloth of wool ,100000000000000000000000000000,100,10000000000
936,937,'rieten' box ,000010000000000000000000000000,100,10000000000
937,938,paper box 1 ,000000000010000000000000000000,100,10000000000
938,939,paper box 2 ,010000000010000000000000000000,100,01100000000
939,940,paper box 3 ,000000000010000000000000000000,100,10000000000
940,941,jacket ,100000000000000000000000000000,001,10000000000
941,942,sitting horse ,100000000000000000000000010000,100,01100000000
942,943,metal tea box ,010000000000000000000000000000,100,00100000000
943,944,small capsicum ,000000010000000000000000000000,100,00100000000
944,945,Rice cracks ,000000000010000000000000000000,100,00100000000
945,946,pasta and sugo ,000000000010000000000000000000,100,00100000000
946,947,sherry tomatos ,001000000000000000000000000000,001,01000000000
947,948,green capsicum ,000000000001000000000000000000,001,01000000000
948,949,cake ,000000010000000000000000000000,100,10000000000
949,950,banana's ,001000000000000000000000000000,001,01000000000
950,951,maaza mango drink ,010000000100000000000000000000,100,01100000000
951,952,artisjok ,000000000001000000000000000000,001,10000000000
952,953,yellow capsicum ,000000000001000000000000000000,001,01000000000
953,954,reddish ,000000000001000000000000000000,001,01000000000
954,955,maaza guava drink ,010000000100000000000000000000,100,01100000000
955,956,pickwick spice ,000000010000000000000000000000,100,00100000000
956,957,bread ,000000000000000000000010000000,001,10000000000
957,958,crunchy muesli ,000000010000000000000000000000,100,00100000000
958,959,m&m's ,000000000010000000000000000000,100,00100000000
959,960,tortellini tricolore ,000000000010000000000000000000,100,00100000000
960,961,piccalilly ,010000000110000000000000000000,100,01100000000
